loan_amnt,term,emp_length,home_ownership,annual_inc,verification_status,zip_code,addr_state,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
5000,36 months,2 years,RENT,24044,Verified,974xx,OR,0,0,8,0,2224,29.30%,16,Fully Paid
7000,36 months,7 years,RENT,34000,Source Verified,934xx,CA,0,1,6,0,6113,60.50%,6,Fully Paid
12400,36 months,10+ years,RENT,41000,Not Verified,405xx,KY,0,2,9,0,11095,57.20%,12,Fully Paid
10800,36 months,2 years,RENT,55596,Source Verified,946xx,CA,0,0,7,0,2535,13.30%,18,Fully Paid
15000,36 months,1 year,RENT,45000,Verified,445xx,OH,0,0,7,0,6704,50.40%,27,Fully Paid
6000,36 months,1 year,RENT,36852,Source Verified,850xx,AZ,0,1,7,0,7310,66.50%,12,Fully Paid
12500,60 months,1 year,RENT,27000,Verified,604xx,IL,0,3,6,0,10143,50%,24,Fully Paid
9600,36 months,4 years,RENT,68004,Source Verified,292xx,SC,0,0,6,0,2896,18.10%,11,Fully Paid
12000,36 months,10+ years,RENT,62300,Not Verified,088xx,NJ,0,0,15,0,8601,21%,25,Fully Paid
3000,36 months,9 years,MORTGAGE,65000,Not Verified,180xx,PA,0,0,8,0,43936,98.10%,22,Fully Paid
4400,36 months,10+ years,RENT,55000,Not Verified,029xx,RI,0,0,7,0,25237,99%,11,Fully Paid
6000,36 months,10+ years,MORTGAGE,45600,Not Verified,700xx,LA,0,1,6,0,3378,32.50%,28,Fully Paid
14000,36 months,6 years,RENT,80000,Not Verified,010xx,MA,0,1,7,0,2219,13.40%,40,Fully Paid
5000,36 months,10+ years,MORTGAGE,100000,Source Verified,441xx,OH,0,0,17,0,74351,62.10%,35,Charged Off
10000,36 months,6 years,RENT,27000,Verified,104xx,NY,0,0,7,0,7814,52.30%,10,Fully Paid
10000,36 months,10+ years,RENT,60000,Not Verified,067xx,CT,0,1,11,0,14019,19.50%,18,Fully Paid
11000,36 months,5 years,RENT,70000,Not Verified,061xx,CT,0,0,5,0,11638,36.40%,7,Fully Paid
15000,36 months,8 years,MORTGAGE,80000,Not Verified,616xx,IL,0,2,9,0,11845,63.70%,28,Charged Off
25600,36 months,9 years,RENT,110000,Verified,913xx,CA,0,0,11,0,26088,62%,27,Fully Paid
7000,36 months,< 1 year,RENT,40000,Not Verified,947xx,CA,0,0,7,0,12168,92.90%,12,Fully Paid
12000,36 months,4 years,RENT,50000,Not Verified,914xx,CA,0,2,11,0,15793,90.80%,11,Charged Off
12000,36 months,1 year,RENT,46000,Not Verified,765xx,TX,0,1,11,0,12143,52.10%,12,Fully Paid
21000,60 months,7 years,RENT,50000,Verified,980xx,WA,0,1,7,0,19448,97.60%,14,Charged Off
16000,60 months,7 years,RENT,81000,Verified,017xx,MA,0,3,12,0,27884,75.10%,21,Fully Paid
10000,36 months,< 1 year,OWN,39000,Not Verified,972xx,OR,0,0,5,0,12874,72.70%,10,Fully Paid
10000,36 months,2 years,RENT,51400,Not Verified,752xx,TX,0,3,10,0,10160,59.10%,24,Fully Paid
7100,36 months,1 year,MORTGAGE,33000,Verified,787xx,TX,0,2,4,0,6021,91.20%,8,Fully Paid
13000,60 months,< 1 year,MORTGAGE,30000,Source Verified,077xx,NJ,0,0,17,0,17080,58.90%,27,Fully Paid
17500,60 months,6 years,RENT,40000,Verified,951xx,CA,0,1,5,0,10724,58.90%,6,Fully Paid
17675,60 months,< 1 year,RENT,50000,Source Verified,540xx,WI,0,2,6,0,6661,57.40%,14,Fully Paid
8000,36 months,< 1 year,RENT,62000,Not Verified,225xx,VA,0,3,14,0,6088,66.90%,20,Fully Paid
10000,60 months,10+ years,RENT,45996,Verified,440xx,OH,0,1,7,0,11170,30.10%,15,Charged Off
3500,36 months,7 years,MORTGAGE,55000,Not Verified,437xx,OH,0,1,9,0,6611,45.90%,12,Fully Paid
12500,60 months,5 years,RENT,30000,Source Verified,559xx,MN,0,0,7,1,9844,70.80%,28,Charged Off
16425,36 months,4 years,RENT,44544,Source Verified,921xx,CA,0,1,10,0,15747,83.40%,18,Fully Paid
8200,60 months,4 years,RENT,75000,Source Verified,912xx,CA,0,3,6,0,9012,73.90%,11,Charged Off
15000,36 months,2 years,OWN,61000,Verified,325xx,FL,0,1,8,0,19397,79.50%,18,Fully Paid
20975,60 months,5 years,MORTGAGE,44000,Verified,300xx,GA,0,0,13,1,20657,79.40%,21,Fully Paid
6400,36 months,5 years,RENT,75000,Not Verified,923xx,CA,0,0,9,0,7159,67.50%,27,Charged Off
3000,36 months,1 year,RENT,33600,Not Verified,352xx,AL,0,0,4,0,2745,83.20%,7,Fully Paid
12000,36 months,3 years,RENT,50000,Not Verified,013xx,MA,0,1,13,0,11443,97%,19,Fully Paid
14400,36 months,< 1 year,OWN,150000,Source Verified,146xx,NY,0,0,12,0,63864,55%,38,Fully Paid
12000,36 months,10+ years,RENT,90000,Not Verified,074xx,NJ,0,2,12,0,17116,78.50%,36,Fully Paid
11000,36 months,10+ years,MORTGAGE,48000,Verified,786xx,TX,0,3,15,0,11382,65%,29,Fully Paid
7250,60 months,< 1 year,RENT,75000,Verified,937xx,CA,0,2,9,1,21706,91.20%,19,Fully Paid
15000,36 months,1 year,MORTGAGE,52000,Not Verified,799xx,TX,0,1,11,0,1616,6.70%,29,Fully Paid
18000,60 months,10+ years,MORTGAGE,65000,Not Verified,331xx,FL,0,0,10,0,11745,77.80%,40,Fully Paid
35000,60 months,3 years,MORTGAGE,150000,Verified,115xx,NY,0,1,11,0,7334,53.30%,31,Fully Paid
10000,36 months,2 years,RENT,68000,Source Verified,191xx,PA,0,1,9,0,11303,81.30%,15,Fully Paid
11800,36 months,6 years,RENT,42000,Source Verified,114xx,NY,0,0,4,0,8940,74.80%,13,Fully Paid
4500,36 months,4 years,RENT,53000,Source Verified,908xx,CA,0,0,7,0,8630,13.90%,17,Fully Paid
7000,36 months,10+ years,RENT,35000,Source Verified,902xx,CA,0,2,10,0,7649,82.30%,26,Fully Paid
9200,36 months,2 years,RENT,60000,Source Verified,902xx,CA,0,3,8,0,23299,78.70%,19,Fully Paid
14000,60 months,4 years,RENT,28000,Verified,992xx,WA,0,2,5,0,6986,79.40%,10,Fully Paid
4500,60 months,< 1 year,MORTGAGE,42000,Source Verified,750xx,TX,0,0,4,0,8220,78.30%,9,Fully Paid
12000,36 months,9 years,RENT,88365,Verified,852xx,AZ,0,0,6,0,22936,96.40%,15,Fully Paid
12000,36 months,4 years,RENT,72000,Source Verified,937xx,CA,0,1,11,0,3419,27.60%,19,Fully Paid
12000,36 months,< 1 year,RENT,62000,Verified,750xx,TX,0,0,10,0,20310,78.40%,51,Fully Paid
7000,36 months,3 years,MORTGAGE,43680,Not Verified,559xx,MN,0,0,7,0,6245,78.10%,11,Fully Paid
8200,60 months,3 years,RENT,120000,Source Verified,104xx,NY,0,2,5,0,10392,88.40%,6,Fully Paid
10500,36 months,10+ years,RENT,66000,Verified,950xx,CA,1,2,8,0,5790,51.20%,26,Fully Paid
7000,36 months,4 years,OWN,39120,Not Verified,329xx,FL,0,0,8,1,9414,52.40%,26,Fully Paid
15300,60 months,6 years,RENT,85000,Verified,226xx,VA,0,2,14,0,26524,89.70%,27,Fully Paid
20000,60 months,4 years,MORTGAGE,47800,Verified,226xx,VA,0,0,15,0,16447,46.30%,27,Fully Paid
17500,60 months,7 years,MORTGAGE,45000,Not Verified,992xx,WA,0,2,13,0,20129,86.10%,26,Charged Off
3500,36 months,10+ years,MORTGAGE,83000,Verified,614xx,IL,0,0,6,0,3092,13.40%,28,Fully Paid
6000,60 months,< 1 year,RENT,81000,Source Verified,802xx,CO,1,0,6,0,15102,50%,17,Fully Paid
6200,36 months,2 years,RENT,25000,Not Verified,902xx,CA,0,2,7,0,6533,47.70%,12,Charged Off
16000,60 months,7 years,RENT,65000,Not Verified,672xx,KS,0,0,8,0,21166,87.10%,16,Fully Paid
6000,36 months,8 years,OWN,28800,Not Verified,083xx,NJ,0,0,11,0,5269,36.80%,13,Fully Paid
7200,36 months,6 years,RENT,135000,Not Verified,100xx,NY,0,0,7,0,16627,79.60%,18,Fully Paid
9500,36 months,7 years,MORTGAGE,50000,Not Verified,770xx,TX,0,0,8,0,13422,60.50%,13,Fully Paid
18825,60 months,10+ years,RENT,38000,Verified,787xx,TX,0,0,6,0,11004,79.70%,7,Charged Off
24000,36 months,10+ years,RENT,45000,Verified,926xx,CA,0,0,5,0,24708,55.20%,9,Fully Paid
6000,36 months,10+ years,RENT,80000,Not Verified,931xx,CA,0,0,8,0,15499,83.80%,16,Fully Paid
6000,36 months,5 years,RENT,50000,Not Verified,860xx,AZ,0,1,6,0,15191,91.50%,7,Fully Paid
2100,36 months,10+ years,MORTGAGE,30000,Not Verified,712xx,LA,0,1,12,0,12183,82.90%,26,Fully Paid
5500,36 months,8 years,MORTGAGE,110000,Verified,060xx,CT,0,0,7,0,14136,21.90%,26,Fully Paid
11000,36 months,8 years,OWN,45608,Source Verified,707xx,LA,0,0,7,0,10677,58.70%,11,Fully Paid
26800,60 months,3 years,MORTGAGE,120000,Verified,342xx,FL,0,0,13,0,14772,48%,18,Fully Paid
8000,36 months,5 years,MORTGAGE,35000,Not Verified,604xx,IL,0,0,7,0,6842,97.70%,18,Fully Paid
10000,36 months,1 year,RENT,75000,Source Verified,900xx,CA,0,0,9,0,22828,96.30%,26,Charged Off
8000,36 months,9 years,MORTGAGE,35000,Verified,895xx,NV,0,0,7,0,6142,46.50%,8,Fully Paid
10000,36 months,6 years,RENT,24000,Verified,900xx,CA,0,0,6,0,6734,49.50%,21,Fully Paid
12000,36 months,2 years,MORTGAGE,126000,Not Verified,430xx,OH,0,0,17,0,32711,54.10%,38,Fully Paid
10000,36 months,1 year,RENT,43000,Not Verified,919xx,CA,0,0,8,0,8215,37.20%,16,Fully Paid
12000,36 months,1 year,RENT,50000,Not Verified,926xx,CA,0,1,11,0,14335,29.30%,25,Fully Paid
25000,60 months,10+ years,MORTGAGE,67000,Verified,996xx,AK,0,0,6,0,15319,91.20%,21,Charged Off
19750,36 months,4 years,RENT,45000,Verified,974xx,OR,0,0,12,0,16576,54.20%,28,Charged Off
10000,36 months,3 years,RENT,31200,Source Verified,104xx,NY,0,0,13,0,5540,27%,19,Fully Paid
13650,36 months,4 years,RENT,66000,Verified,891xx,NV,0,0,11,0,8933,56.50%,34,Fully Paid
28000,60 months,10+ years,RENT,52000,Verified,752xx,TX,0,0,10,0,29178,87.60%,16,Charged Off
18000,36 months,10+ years,RENT,56964,Source Verified,935xx,CA,0,0,7,0,17381,76.60%,20,Fully Paid
2500,36 months,7 years,RENT,49500,Source Verified,325xx,FL,0,1,7,0,9868,37.70%,20,Fully Paid
21000,60 months,10+ years,RENT,70000,Verified,801xx,CO,0,2,17,0,12508,70.70%,25,Fully Paid
35000,36 months,6 years,MORTGAGE,125000,Verified,928xx,CA,0,0,8,0,9051,34.80%,32,Fully Paid
10000,36 months,3 years,RENT,33000,Not Verified,080xx,NJ,0,1,9,0,68,0.60%,19,Fully Paid
7000,36 months,< 1 year,RENT,30000,Source Verified,233xx,VA,0,2,7,0,15455,47.60%,11,Fully Paid
24000,36 months,8 years,MORTGAGE,90000,Source Verified,927xx,CA,0,1,9,0,30952,71.20%,23,Charged Off
10625,36 months,5 years,MORTGAGE,23000,Not Verified,970xx,OR,0,1,9,0,7114,43.40%,21,Fully Paid
5000,36 months,2 years,RENT,24000,Source Verified,150xx,PA,0,2,5,0,2429,33.30%,9,Fully Paid
8850,36 months,10+ years,RENT,62000,Source Verified,211xx,MD,0,0,7,0,9466,35.90%,19,Fully Paid
6375,36 months,4 years,RENT,44000,Source Verified,303xx,GA,0,0,7,0,6324,58%,11,Fully Paid
6000,36 months,1 year,RENT,90000,Not Verified,070xx,NJ,1,0,10,0,8489,56.60%,23,Fully Paid
11100,36 months,10+ years,RENT,41000,Verified,194xx,PA,0,1,8,0,17518,62.30%,18,Charged Off
10000,60 months,2 years,MORTGAGE,56000,Source Verified,923xx,CA,0,1,11,0,10081,31.20%,18,Fully Paid
6200,36 months,5 years,MORTGAGE,26500,Not Verified,263xx,WV,0,0,6,0,2982,16%,18,Fully Paid
15000,36 months,1 year,RENT,54000,Not Verified,300xx,GA,0,2,9,0,15183,90.30%,12,Fully Paid
4200,36 months,2 years,RENT,53000,Not Verified,403xx,MD,0,0,15,0,8336,79.70%,22,Fully Paid
14000,36 months,4 years,RENT,52800,Not Verified,919xx,CA,0,1,9,0,13378,70.80%,14,Fully Paid
8875,36 months,1 year,MORTGAGE,38000,Not Verified,301xx,GA,0,1,13,0,19056,62.10%,27,Fully Paid
13500,36 months,7 years,RENT,38000,Verified,917xx,CA,0,1,3,0,16023,67.30%,7,Fully Paid
12000,36 months,2 years,RENT,42000,Not Verified,553xx,MN,0,2,8,0,9749,65.40%,16,Charged Off
16000,60 months,4 years,RENT,55000,Verified,993xx,WA,0,0,8,0,7743,72.40%,19,Fully Paid
21600,60 months,8 years,MORTGAGE,60000,Source Verified,312xx,GA,1,0,6,0,13354,78.10%,21,Fully Paid
6000,36 months,6 years,MORTGAGE,87000,Not Verified,074xx,NJ,2,0,12,0,11739,40.50%,22,Fully Paid
8450,60 months,5 years,OWN,25000,Verified,606xx,IL,0,2,6,0,17614,83.50%,21,Fully Paid
20000,60 months,1 year,RENT,82000,Not Verified,432xx,OH,0,0,13,0,26693,61.40%,23,Fully Paid
10000,36 months,8 years,RENT,60000,Not Verified,921xx,CA,0,0,8,0,5626,29.30%,26,Charged Off
12000,36 months,5 years,MORTGAGE,80000,Verified,303xx,GA,0,0,8,0,29609,97.20%,11,Fully Paid
13475,60 months,10+ years,RENT,25000,Verified,917xx,CA,0,1,7,0,9943,65.80%,14,Charged Off
7200,36 months,5 years,RENT,48000,Not Verified,602xx,IL,0,1,7,0,16450,80.20%,10,Fully Paid
5600,36 months,1 year,MORTGAGE,85000,Not Verified,850xx,AZ,1,3,8,0,6812,90.80%,31,Charged Off
12000,36 months,< 1 year,RENT,57000,Verified,931xx,CA,0,1,7,0,9273,81.50%,11,Fully Paid
8500,36 months,2 years,RENT,25000,Not Verified,216xx,MD,0,0,6,0,2463,28%,18,Fully Paid
8000,36 months,2 years,RENT,34000,Source Verified,151xx,PA,0,0,6,0,7434,78.50%,7,Fully Paid
8000,36 months,10+ years,RENT,40000,Not Verified,971xx,OR,0,0,10,0,18601,88.20%,11,Fully Paid
16000,60 months,10+ years,RENT,42656.4,Source Verified,305xx,GA,0,1,4,0,12830,92.30%,17,Fully Paid
15000,36 months,2 years,MORTGAGE,44400,Source Verified,334xx,FL,1,0,6,1,4582,91.60%,16,Fully Paid
10000,36 months,2 years,OWN,30000,Not Verified,050xx,VT,0,1,8,0,9152,66.80%,30,Fully Paid
10000,36 months,5 years,MORTGAGE,70000,Not Verified,129xx,NY,0,0,9,0,10770,69%,18,Fully Paid
8000,36 months,3 years,RENT,28000,Not Verified,925xx,CA,0,1,8,0,6187,54.30%,11,Fully Paid
22000,36 months,2 years,MORTGAGE,50000,Verified,483xx,MI,0,4,17,0,21470,49.80%,32,Fully Paid
6000,36 months,10+ years,MORTGAGE,94800,Verified,760xx,TX,0,1,13,0,71890,95.90%,30,Fully Paid
16000,60 months,10+ years,OWN,40000,Verified,329xx,FL,0,1,6,0,13270,28.50%,23,Fully Paid
2500,36 months,n/a,OWN,12000,Source Verified,961xx,CA,0,2,13,0,4853,42.20%,20,Charged Off
13500,36 months,2 years,MORTGAGE,36000,Source Verified,200xx,DC,0,1,13,0,25011,67.20%,15,Fully Paid
25000,36 months,2 years,RENT,225000,Verified,085xx,NJ,1,0,11,0,30449,34.60%,23,Fully Paid
10000,36 months,2 years,RENT,45900,Verified,951xx,CA,0,2,10,0,8936,48.30%,12,Fully Paid
2500,36 months,4 years,RENT,27200,Not Verified,981xx,WA,0,0,6,0,3473,68.10%,6,Fully Paid
7325,36 months,1 year,RENT,42000,Not Verified,330xx,FL,0,3,12,0,7281,65%,29,Fully Paid
4000,36 months,5 years,RENT,135000,Verified,103xx,NY,0,3,11,0,29311,85.70%,21,Fully Paid
10000,36 months,5 years,RENT,65000,Not Verified,927xx,CA,1,2,12,0,14292,69.50%,17,Charged Off
7750,36 months,< 1 year,RENT,24000,Not Verified,601xx,IL,0,1,4,0,2348,67.10%,7,Charged Off
20000,60 months,6 years,RENT,70000,Source Verified,334xx,FL,0,1,10,0,10470,79.90%,24,Charged Off
9600,36 months,10+ years,RENT,65000,Verified,117xx,NY,0,0,6,0,11279,70.90%,11,Fully Paid
21000,60 months,3 years,RENT,60000,Not Verified,931xx,CA,0,0,7,0,10543,79.90%,11,Charged Off
14000,36 months,3 years,RENT,30000,Source Verified,063xx,CT,0,0,7,0,15542,65.60%,14,Fully Paid
13350,36 months,10+ years,RENT,43000,Not Verified,920xx,CA,0,0,7,0,11531,95.30%,15,Fully Paid
15000,36 months,10+ years,RENT,42000,Verified,543xx,WI,0,2,10,0,8238,74.90%,38,Charged Off
15000,36 months,8 years,RENT,75000,Source Verified,951xx,CA,0,0,10,0,13505,75.90%,17,Charged Off
11000,60 months,10+ years,MORTGAGE,129000,Verified,927xx,CA,0,0,10,0,1735,24.10%,31,Fully Paid
35000,36 months,2 years,MORTGAGE,168000,Verified,775xx,TX,1,1,16,0,1099,1.40%,22,Fully Paid
9000,36 months,9 years,MORTGAGE,74000,Source Verified,570xx,SD,0,0,7,0,7388,71.70%,10,Fully Paid
22475,60 months,7 years,MORTGAGE,52000,Verified,038xx,NH,0,1,7,0,18554,61.80%,23,Fully Paid
16000,36 months,1 year,RENT,58500,Source Verified,606xx,IL,0,0,8,0,26224,89.30%,10,Charged Off
13500,36 months,5 years,RENT,71000,Source Verified,221xx,VA,0,2,4,0,6681,77.70%,11,Fully Paid
24000,36 months,10+ years,RENT,75000,Verified,985xx,WA,0,0,10,0,21609,84.60%,33,Fully Paid
12000,36 months,5 years,RENT,60000,Not Verified,920xx,CA,0,1,12,0,11849,48.80%,18,Fully Paid
8400,60 months,5 years,RENT,87996,Not Verified,113xx,NY,0,0,8,0,9551,80.30%,13,Fully Paid
28000,60 months,5 years,MORTGAGE,140000,Verified,275xx,NC,0,1,13,0,2686,13.40%,24,Fully Paid
14000,36 months,10+ years,RENT,66000,Source Verified,236xx,VA,0,1,7,0,12095,35.40%,46,Fully Paid
12000,36 months,8 years,MORTGAGE,70000,Not Verified,148xx,NY,0,1,7,0,11546,86.20%,12,Charged Off
25000,36 months,10+ years,MORTGAGE,100000,Verified,028xx,RI,0,1,8,0,21128,89.10%,18,Fully Paid
9000,36 months,5 years,RENT,50000,Source Verified,115xx,NY,0,1,13,0,12752,55.40%,21,Fully Paid
13250,36 months,4 years,RENT,35000,Not Verified,450xx,OH,0,2,11,0,13392,58.70%,25,Fully Paid
20000,36 months,6 years,RENT,75000,Verified,921xx,CA,0,1,7,0,19548,90.80%,17,Fully Paid
3000,36 months,5 years,RENT,71000,Verified,532xx,WI,0,1,4,0,15072,88.70%,14,Fully Paid
7350,36 months,10+ years,MORTGAGE,48000,Not Verified,729xx,AR,0,0,5,0,15587,77.50%,5,Fully Paid
11500,36 months,5 years,RENT,36000,Not Verified,321xx,FL,0,1,7,0,8969,76.70%,14,Fully Paid
13650,36 months,10+ years,MORTGAGE,86000,Not Verified,913xx,CA,0,1,12,0,16140,73.40%,34,Charged Off
10500,36 months,3 years,RENT,30000,Source Verified,959xx,CA,0,1,7,0,5379,55.50%,8,Charged Off
12000,36 months,2 years,RENT,60000,Not Verified,941xx,CA,0,0,7,0,12168,85.70%,21,Fully Paid
6000,36 months,3 years,RENT,34000,Not Verified,432xx,OH,0,2,9,0,13683,64.80%,16,Fully Paid
11500,36 months,10+ years,MORTGAGE,44200,Verified,955xx,CA,0,1,9,0,13147,90%,11,Fully Paid
7000,36 months,7 years,MORTGAGE,82000,Not Verified,217xx,MD,0,1,6,0,25334,71.60%,31,Fully Paid
29500,60 months,6 years,MORTGAGE,83000,Source Verified,880xx,NM,0,0,12,0,22087,89.80%,35,Fully Paid
2000,36 months,2 years,RENT,41000,Verified,770xx,TX,0,1,7,0,18115,96.40%,11,Fully Paid
11625,36 months,< 1 year,MORTGAGE,36000,Source Verified,660xx,KS,0,1,17,0,19979,84.70%,31,Fully Paid
15075,36 months,10+ years,RENT,35000,Verified,770xx,TX,0,1,7,0,10570,89.60%,14,Charged Off
5300,36 months,1 year,RENT,30000,Verified,062xx,CT,0,2,11,0,7855,82.70%,13,Fully Paid
8200,36 months,< 1 year,RENT,40000,Source Verified,193xx,PA,0,1,7,0,2573,25.50%,11,Fully Paid
12000,36 months,9 years,MORTGAGE,105000,Not Verified,750xx,TX,0,1,10,0,11243,75%,25,Fully Paid
8650,36 months,4 years,MORTGAGE,45000,Source Verified,335xx,FL,0,2,14,0,6602,58.90%,23,Fully Paid
21000,60 months,10+ years,MORTGAGE,109000,Verified,070xx,NJ,0,0,9,0,25435,50.30%,16,Fully Paid
16000,60 months,2 years,RENT,50000,Source Verified,761xx,TX,0,0,10,0,15788,42.20%,16,Fully Paid
12000,36 months,2 years,RENT,83000,Not Verified,941xx,CA,0,2,14,0,16550,51.10%,61,Fully Paid
9500,36 months,< 1 year,MORTGAGE,52500,Source Verified,921xx,CA,0,2,14,0,23729,75.30%,42,Charged Off
7400,36 months,< 1 year,OWN,25000,Source Verified,857xx,AZ,0,0,5,0,5199,92.80%,13,Fully Paid
14400,36 months,10+ years,MORTGAGE,60000,Not Verified,334xx,FL,0,1,15,0,23317,65%,26,Fully Paid
24250,60 months,7 years,MORTGAGE,120000,Verified,850xx,AZ,0,3,7,0,31992,99%,20,Fully Paid
7200,36 months,3 years,RENT,68000,Source Verified,306xx,GA,0,0,5,0,8783,82.90%,14,Charged Off
26000,60 months,10+ years,MORTGAGE,53000,Verified,271xx,NC,0,1,5,0,7560,72.70%,14,Charged Off
7000,60 months,6 years,MORTGAGE,69600,Verified,981xx,WA,0,0,10,0,45449,90.90%,23,Charged Off
4000,36 months,< 1 year,RENT,65000,Source Verified,902xx,CA,0,0,10,0,10032,50.70%,24,Fully Paid
1500,36 months,10+ years,MORTGAGE,144000,Verified,900xx,CA,1,0,6,0,14186,97.80%,14,Fully Paid
19600,36 months,2 years,RENT,75000,Verified,142xx,NY,0,0,8,0,20355,50.10%,12,Fully Paid
2500,36 months,7 years,MORTGAGE,29000,Verified,850xx,AZ,0,0,5,0,2668,66.70%,13,Fully Paid
10000,36 months,2 years,RENT,70000,Not Verified,956xx,CA,0,0,5,0,6035,70.20%,6,Charged Off
10000,36 months,5 years,RENT,45000,Not Verified,441xx,OH,0,0,15,0,10133,70.40%,40,Fully Paid
4225,36 months,5 years,MORTGAGE,55200,Not Verified,983xx,WA,0,1,6,0,4055,73.70%,12,Fully Paid
3500,36 months,7 years,MORTGAGE,61440,Not Verified,945xx,CA,1,0,6,0,15472,55.50%,19,Fully Paid
12000,36 months,10+ years,MORTGAGE,56000,Not Verified,330xx,FL,0,0,7,0,9873,80.30%,21,Fully Paid
16500,36 months,< 1 year,RENT,47000,Source Verified,604xx,IL,0,1,6,0,13917,38.80%,24,Fully Paid
22000,60 months,< 1 year,RENT,55000,Verified,985xx,WA,0,1,9,0,20154,79.40%,27,Fully Paid
12000,36 months,1 year,RENT,71000,Verified,672xx,KS,0,2,15,0,17972,71%,38,Fully Paid
15600,60 months,10+ years,RENT,50000,Source Verified,109xx,NY,0,1,8,0,8079,35.70%,11,Charged Off
10800,36 months,8 years,RENT,135000,Verified,917xx,CA,0,0,14,0,18467,74.50%,23,Fully Paid
14000,36 months,10+ years,MORTGAGE,63000,Not Verified,300xx,GA,0,0,5,0,17212,97.80%,19,Fully Paid
18825,60 months,4 years,MORTGAGE,44000,Verified,113xx,NY,0,0,9,0,14092,93.20%,20,Fully Paid
